Company,Date of Publishing,Author,Headline,Description,Article Body,URL
ITC,2024-04-16T18:03:00+05:30,PTI,Equity investors become poorer by Rs 7.93 lakh cr in three days,"The market capitalisation (mcap) of BSE-listed companies was eroded by Rs 7,93,529.61 crore to Rs 3,94,25,823.46 (USD 4.75 trillion) in three days.","Investors' wealth tumbled Rs 7.93 lakh crore in three days of market crash amid escalating tensions in the Middle East and weak global trends. Continuing its downtrend for the third day running on Tuesday, the 30-share BSE Sensex tanked 456.10 points or 0.62 per cent to settle at 72,943.68. During the day, it slumped 714.75 points or 0.97 per cent to 72,685.03.  The market capitalisation (mcap) of BSE-listed companies was eroded by Rs 7,93,529.61 crore to Rs 3,94,25,823.46 (USD 4.75 trillion) in three days.  In the past three days, the BSE benchmark tanked 2,094.47 points or 2.79 per cent.   Markets extended their losing streak for a third straight session on the back of weak global cues as a sharp rise in US bond yields due to rising Middle East tensions has made equity markets less attractive and prompted investors to resort to profit-taking.   Investors are fearing that the ongoing conflict could fuel buoyancy in crude oil prices and in turn weigh on inflation,  Prashanth Tapse, Senior VP (Research) at Mehta Equities Ltd, said.  From the Sensex basket, Infosys, IndusInd Bank, Bajaj Finserv, Wipro, HCL Technologies, Tech Mahindra, Bajaj Finance, Tata Consultancy Services and Larsen & Toubro were the major laggards.  Titan Company, Hindustan Unilever, HDFC Bank, Maruti, Power Grid, Reliance Industries and ITC were the gainers.  In Asian markets, Seoul, Tokyo, Shanghai, and Hong Kong settled lower.  European markets were quoting in the red. Wall Street ended in negative territory on Monday.   Escalating tension in the Middle East has turned sentiments sour leading to a rise in crude oil prices. Weak global cues and Rs 11,295 crore selling by FIIs in the last two days hurt domestic markets,  Siddhartha Khemka, Head - Retail Research at Motilal Oswal Financial Services Ltd, said.  Foreign Institutional Investors (FIIs) offloaded equities worth Rs 3,268 crore on Monday, according to exchange data.  Among the indices, IT declined 2.32 per cent, teck (2.09 per cent), bankex (0.50 per cent), metal (0.36 per cent), capital goods (0.26 per cent) and commodities (0.24 per cent).  Energy, consumer discretionary, healthcare, industrials, consumer durables, oil & gas, and power were the gainers.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/equity-investors-become-poorer-by-rs-7-93-lakh-cr-in-three-days/articleshow/109349312.cms
ITC,2024-05-07T10:29:00+05:30,ETMarkets.com,Share market update: Most active stocks of the day in terms of total traded value,The NSE Nifty index was trading 92.05 points  down  at 22350.65,"NEW DELHI: Marico(Rs. 831.71 crore), REC(Rs. 674.70 crore), HUL(Rs. 669.82 crore), CDSL(Rs. 572.54 crore), ITC(Rs. 558.60 crore), HDFC Bank(Rs. 520.95 crore), RIL(Rs. 486.23 crore), Godrej Consumer(Rs. 461.26 crore), Vodafone Idea(Rs. 445.45 crore) and ICICI Bank(Rs. 411.40 crore) were among the most traded securities on the National Stock Exchange at 10:29AM in Tuesday's session.   The NSE Nifty index traded 92.05 points down at 22350.65, while BSE Sensex was down 331.54 points at 73564.0 as of 10:29AM(IST)on May 07.   In the Nifty index, Hindustan Unilever Ltd.(up 4.22 per cent), Britannia Industries Ltd.(up 2.64 per cent), Nestle India Ltd.(up 2.25 per cent), ITC Ltd.(up 1.94 per cent) and Tata Consumer Products Ltd.(up 0.82 per cent) were among the top gainers.   On the other hand, Power Grid Corporation of India Ltd.(down 2.14 per cent), HCL Technologies Ltd.(down 2.08 per cent), JSW Steel Ltd.(down 1.67 per cent), Shriram Finance Ltd.(down 1.59 per cent) and ICICI Bank Ltd.(down 1.30 per cent) were among the top losers. ",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/articleshow/109905168.cms
ITC,2024-05-07T09:31:00+05:30,Navdeep Singh,"Sensex opens marginally higher tracking postive global cues; Nifty above 22,450","Indian benchmark indices opened higher. HUL, Nestle India, Godrej Consumer Products surged, while Lupin declined. Nifty FMCG, Marico, Dabur, Financial Services, PSU Bank, Consumer Durables, Oil & Gas gained. Global markets rise, oil prices up, rupee strengthens.","Indian benchmark equity indices opened marginally higher on Tuesday, mirroring a surge in global stocks driven by renewed confidence that major central banks worldwide will initiate interest rate cuts this year.At the opening bell, the BSE Sensex advanced by 60 points or 0.08%, hovering at 73,956, while the Nifty50 traded at 22,470, up by 28 points or 0.12%, around 9.18 am.Among the constituents of the Sensex, HUL, ITC, Nestle India, Titan, and Wipro commenced the session on a positive note, whereas HCL Tech, Power Grid, JSW Steel, Tata Motors, and M&M started with losses.Godrej Consumer Products shares surged by 7% in early trade following a rise in demand for its home and personal care products, contributing to a reported increase in the company's fourth-quarter adjusted profit.Meanwhile, Lupin shares declined over 5% after the drugmaker missed quarterly profit estimates as higher costs outweighed strong demand in North America and Indian markets.In sectoral movements, Nifty FMCG rallied by 2%, primarily driven by Marico, Godrej Consumer Products, and Dabur. Nifty Financial Services, PSU Bank, Consumer Durables, and Oil & Gas also commenced the session on a positive note. However, Nifty Auto, Media, Pharma, and Realty opened lower.Experts View The Wall Street trading focus shifts with concerns over a potential U.S. interest-rate cut following a weak jobs report. Nifty's bullish momentum faces hurdles due to lackluster Q4 Indian corporate earnings, as India VIX surges. Recommended trades for Nifty and Bank Nifty are provided, alongside bullish sentiments on select stocks and a specific buy call for DEEPAK NITRITE with outlined targets and rationale,  said Prashanth Tapse, Senior VP (Research), Mehta Equities.Deepak Jasani, Head of Retail Research at HDFC Securities, said,  Nifty could now stay in the 22305-22567 band with a mild negative bias in the near term. Global MarketsAsian shares made 15-month highs on Tuesday as the European Central Bank grows more confident about cutting rates and the U.S. Federal Reserve said it would  eventually  lower rates.MSCI's broadest index of Asia-Pacific shares outside Japan was up 0.3% in early trade. Japan's Nikkei gained 1.3% and S&P 500 futures were steady after the cash index logged a 1% rise overnight.FII/DII TrackerForeign portfolio investors sold Indian shares worth Rs 2,169 crore on a net basis on Monday, while domestic institutional investors bought a net Rs 781 crore of stocks.Oil ClimbsOil prices edged higher on Tuesday after Israel struck Rafah in Gaza, while negotiations for a ceasefire with Hamas continued without resolution.Brent crude futures were up 23 cents, or 0.28%, at $83.56 per barrel, while U.S. West Texas Intermediate (WTI) crude futures rose 24 cents, or 0.31%, to $78.72 a barrel.Rupee RisesThe Indian rupee rose 4 paise to 83.48 against the US dollar in early trade. The dollar index, which tracks the movement of the greenback against a basket of six major world currencies, increased 0.12% to 105.17 level.(With inputs from agencies)(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of Economic Times)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/sensex-opens-marginally-higher-tracking-postive-global-cues-nifty-above-22450/articleshow/109903164.cms
ITC,2024-05-07T01:07:00+05:30,Writankar Mukherjee,BAT unlikely to bat on the board of ITC's hotels biz,"ITC's hotel business will not have any board representation from its largest shareholder, BAT, according to a demerger document. BAT will own 15.32% in ITC Hotels as foreign direct investment, making it the largest public shareholder after ITC's promoter holding of 39.93%. BAT's chief executive Tadeu Marroco stated last December that ITC's hotel business was not an area of interest for the British tobacco maker. ","ITC Ltd’s soon-to-be-demerged hotel business won’t have any board representation of its largest shareholder, BAT Plc, according to the company’s demerger document sent to shareholders.An industry executive aware of the plans said this indicates BAT doesn’t have any interest in the hotel business and may sell its stake in ITC Hotels Ltd once the company gets listed in the next 4-6 months.BAT will directly own 15.32% in ITC Hotels as foreign direct investment, making it the largest public shareholder after ITC’s promoter holding of 39.93%, showed the document released on Friday.BAT chief executive Tadeu Marroco said last December that ITC’s hotel business is not an area of interest for the British tobacco maker. The document showed BAT had voted in favour of the demerger.However, even after selling its entire stake, BAT will continue to have some indirect interest in the company through ITC’s holding in the hotel company.  109895064The board of ITC currently has two representatives of BAT --Sunil Panray and Atul Singh. This March, BAT sold a 3.5% stake in ITC for Rs 16,690 crore in a block deal to institutional investors, paring its holding to 25.51%.As per the document, the proposed board of ITC Hotels will include ITC chairman and managing director Sanjiv Puri who will become chairman and non-executive director of the new entity.Three more senior executives of ITC will also join the board as non-executive directors – Anil Chadha, chief executive of hospitality business; Supratim Dutta, executive director and chief financial officer; and company secretary R. K. Singhi. P.R. Ramesh, who served as a partner at Deloitte Haskins & Sells LLP, will also join as non-executive director.The executive cited above said the board of ITC Hotels might be expanded after its listing. He said Puri will continue as chairman and Anil Chadha might be appointed as managing director of the new company. “This will be decided by the board of ITC Hotels after the listing. However, BAT is unlikely to take a board position then too,” he said.Post listing, BAT is likely to appoint a merchant banker to sell its stake in ITC Hotels.An analyst tracking the company said BAT’s exit from ITC Hotels is imminent as it is a non-core area and it would want to use the stake sale proceeds to reduce its high debt. “There are no issues for BAT to sell its stake in ITC Hotels as regulations in the hotel sector are not as stringent as tobacco,” he said.In response to ET's queries, ITC spokesman said a meeting of the ordinary shareholders of ITC Ltd is being convened on the June 6 for approval of the scheme of arrangements relating to the demerger of the hotels business. All consequent and necessary action will be taken at an appropriate time,  the spokesman said. BAT did not respond to ET’s queries. As per the document, ITC Hotels does not have any secured creditor. The hotel entity will also be nearly debt free with unsecured loans of Rs 2.39 crore which the executive said it owes to ITC Ltd. ITC currently operates 135 five-star hotels comprising a mix of owned properties and management contracts, making it the second largest player in the Indian hospitality sector. It has set an ambitious plan of opening 70 hotels in five years across the country--mostly through management contracts, besides expanding in neighbouring countries.ITC has called a meeting of shareholders on June 6 as per an order from the National Company Law Tribunal, Kolkata Bench, for approving the proposed hotel demerger and scheme of arrangements between respective shareholders and creditors.As per the demerger plans, 60% of ITC Hotels will be owned directly by ITC shareholders and the remaining 40% will continue to be held by ITC. Hence, ITC shareholders will continue to have 100% beneficial economic interest in ITC Hotels through 60% directly and 40% through their shareholding in the parent company.",https://economictimes.indiatimes.com/markets/stocks/news//industry/services/hotels-/-restaurants/bat-unlikely-to-bat-on-the-board-of-itcs-hotels-biz/articleshow/109895062.cms
ITC,2024-05-07T01:07:00+05:30,Writankar Mukherjee,BAT unlikely to bat on the board of ITC's hotels biz,"ITC's hotel business will not have any board representation from its largest shareholder, BAT, according to a demerger document. BAT will own 15.32% in ITC Hotels as foreign direct investment, making it the largest public shareholder after ITC's promoter holding of 39.93%. BAT's chief executive Tadeu Marroco stated last December that ITC's hotel business was not an area of interest for the British tobacco maker. ","ITC Ltd’s soon-to-be-demerged hotel business won’t have any board representation of its largest shareholder, BAT Plc, according to the company’s demerger document sent to shareholders.An industry executive aware of the plans said this indicates BAT doesn’t have any interest in the hotel business and may sell its stake in ITC Hotels Ltd once the company gets listed in the next 4-6 months.BAT will directly own 15.32% in ITC Hotels as foreign direct investment, making it the largest public shareholder after ITC’s promoter holding of 39.93%, showed the document released on Friday.BAT chief executive Tadeu Marroco said last December that ITC’s hotel business is not an area of interest for the British tobacco maker. The document showed BAT had voted in favour of the demerger.However, even after selling its entire stake, BAT will continue to have some indirect interest in the company through ITC’s holding in the hotel company.  109895064The board of ITC currently has two representatives of BAT --Sunil Panray and Atul Singh. This March, BAT sold a 3.5% stake in ITC for Rs 16,690 crore in a block deal to institutional investors, paring its holding to 25.51%.As per the document, the proposed board of ITC Hotels will include ITC chairman and managing director Sanjiv Puri who will become chairman and non-executive director of the new entity.Three more senior executives of ITC will also join the board as non-executive directors – Anil Chadha, chief executive of hospitality business; Supratim Dutta, executive director and chief financial officer; and company secretary R. K. Singhi. P.R. Ramesh, who served as a partner at Deloitte Haskins & Sells LLP, will also join as non-executive director.The executive cited above said the board of ITC Hotels might be expanded after its listing. He said Puri will continue as chairman and Anil Chadha might be appointed as managing director of the new company. “This will be decided by the board of ITC Hotels after the listing. However, BAT is unlikely to take a board position then too,” he said.Post listing, BAT is likely to appoint a merchant banker to sell its stake in ITC Hotels.An analyst tracking the company said BAT’s exit from ITC Hotels is imminent as it is a non-core area and it would want to use the stake sale proceeds to reduce its high debt. “There are no issues for BAT to sell its stake in ITC Hotels as regulations in the hotel sector are not as stringent as tobacco,” he said.In response to ET's queries, ITC spokesman said a meeting of the ordinary shareholders of ITC Ltd is being convened on the June 6 for approval of the scheme of arrangements relating to the demerger of the hotels business. All consequent and necessary action will be taken at an appropriate time,  the spokesman said. BAT did not respond to ET’s queries. As per the document, ITC Hotels does not have any secured creditor. The hotel entity will also be nearly debt free with unsecured loans of Rs 2.39 crore which the executive said it owes to ITC Ltd. ITC currently operates 135 five-star hotels comprising a mix of owned properties and management contracts, making it the second largest player in the Indian hospitality sector. It has set an ambitious plan of opening 70 hotels in five years across the country--mostly through management contracts, besides expanding in neighbouring countries.ITC has called a meeting of shareholders on June 6 as per an order from the National Company Law Tribunal, Kolkata Bench, for approving the proposed hotel demerger and scheme of arrangements between respective shareholders and creditors.As per the demerger plans, 60% of ITC Hotels will be owned directly by ITC shareholders and the remaining 40% will continue to be held by ITC. Hence, ITC shareholders will continue to have 100% beneficial economic interest in ITC Hotels through 60% directly and 40% through their shareholding in the parent company.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/bat-unlikely-to-bat-on-the-board-of-itcs-hotels-biz/articleshow/109899637.cms
ITC,2024-05-06T17:24:00+05:30,Shivendra Kumar,"New plastic waste management rules to benefit ITC, hit Nestle and Britannia: Kotak Equities","Regulations governing recycling and reuse of plastic packaging may hurt consumer plays such as Britannia Industries, Colgate Palmolive India and Nestle India while benefiting ITC, Ganesha Ecosphere, EPL, and Uflex, according to Kotak Institutional equities.","Regulations governing recycling and reuse of plastic packaging may hurt consumer plays such as Britannia Industries, Colgate Palmolive India and Nestle India while benefiting ITC, Ganesha Ecosphere, EPL, and Uflex, according to Kotak Institutional equities.The new rules, which could put India ahead in the global league in terms of handling plastic waste problems, will increase the packaging costs of consumer staple companies, Kotak. On the other hand, plastic recyclers and innovative packaging companies such as Ganesh, EPL, Uflex and ITC, which can provide solutions for making plastic recyclable, develop products using post-consumer recycled material (PCR), and offer economical alternatives to plastics, will be the key beneficiaries of the roll-out of the new rules.India will implement the mandatory norms for the recycling and reuse of recycled content for producers, importers and brand-owners of plastic packaging in a phased manner from FY2025. The new rules are a part of the Plastic Waste Management (Amendment) Rules 2022 (PWM), which aim to boost secondary plastic markets by enacting new norms to create a circular plastic economy and address the rising concerns about plastic pollution.Kotak sees Colgate and Nestle getting impacted the most among companies in its coverage as the regulations will have a higher impact on the food and oral care segment and products that require the use of transparent packaging which requires higher-quality of recycled plastic packaging material. This trades at a 40-50% premium to virgin plastic.The packaging costs of companies in the consumer staples universe are in the range of 5-13% of their revenues with a high exposure to plastic given its unique value proposition. Dabur reported the highest packaging cost at 12.5% of its standalone revenues in FY2023.Kotak's recommendations:Britannia Industries: ADD |Target: Rs 5,225 | Upside: 10%Colgate Palmolive: REDUCE | Target: Rs 2,425 | Downside: 13%Nestle: ADD | Target: Rs 2,550 | Upside: 4%ITC: ADD | Target: Rs 460 | Upside: 5%Also Read: Marico Q4 Results: Consolidated PAT rises 5% YoY to Rs 320 crore(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of Economic Times)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/new-plastic-waste-management-rules-to-benefit-itc-hit-nestle-and-britannia-kotak-equities/articleshow/109887471.cms
ITC,2024-05-05T06:00:00+05:30,Writankar Mukherjee and Sagar Malviya,From powders to liquids: Competition heats up in liquid cleaners market in India,"India's market sees a surge in liquid cleaners' popularity, driven by ecommerce growth and competition among top players like HUL, ITC, and Colgate. The trend towards premium, differentiated products reflects changing consumer preferences and aspirations.","Kolkata|Mumbai: Powders and bars are passe - liquids are cleaning up the market. India is showing a distinct shift in consumption habits, with liquid products in soaps, detergents and dish cleaners being adopted readily, executives at top companies said. Aided by the growth in ecommerce, competition in liquids cleaners is heating up with the entry of multiple new players - not just in cities but in smaller towns too.According to a recent report by researcher Kantar, just two categories in the home and personal care segment added more than 10 million new consumers in 2023, both in the liquid format. Liquid fabric softeners and washes added 14 million and 13.1 million new users, respectively. Against the overall fast-moving consumer goods (FMCG) market growth of 5%, these segments grew 13% and 20% each, Kantar estimated.Sales of such products have accelerated at a faster pace than solids and powders. Hindustan Unilever (HUL), ITC and Colgate-Palmolive India are expanding their liquid products portfolio. 109846047This is across brands and price points, making liquid soaps and washes the next hotspot.Everyone’s vying for a piece of the pie — startups as well as established brands such as Mamaearth, Wow, Safewash, Santoor and Wipro Consumer Care’s Chandrika, Godrej Fab and several other labels of ecommerce majors and retailers.Sameer Satpathy, divisional chief executive of personal care products at ITC, said the shift reflects the needs of an aspirational society looking for premium products that are unique and differentiated. “This trend is further fuelled by the penetration of ecommerce and digital acceleration,” he said.HUL chief executive and managing director Rohit Jawa told analysts last month that there was a macro-secular trend of consumers moving toward liquids across categories. He said there is more competition now from tier II brands, especially in fabric wash liquids. That market has now opened up and become sizable, with many global and local players having entered, he said.Jawa said HUL has already built a liquids business of almost Rs 4,000 crore across categories and relaunched liquid Surf Excel and Vim, leading to higher growth last fiscal.ITC has been betting on labels such as Fiama, Dermafique, Savlon and Nimwash to expand its liquids play. Analysts believe Colgate-Palmolive plans to expand the Palmolive brand much faster than its oral care business, with a focus on products such as body wash.The growth rate for liquid products is upwards of 50-60%, compared with the single-digit pace of growth in powders and bars. Lower penetration of liquid products has a part to play. As Jawa pointed out, the reach of bodywashes is still under 2%. This compares with 90-95% for soaps.Supermarkets are also said to be driving the shift to liquids. Reliance Retail sells more machine wash liquids than powders, which is part of the “bullish, growing and premiumising” of supermarkets in India, chief executive for the grocery business, Damodar Mall, posted on X in January. ",https://economictimes.indiatimes.com/markets/stocks/news//industry/cons-products/fmcg/from-powders-to-liquids-competition-heats-up-in-liquid-cleaners-market-in-india/articleshow/109846022.cms
ITC,2024-05-01T17:11:00+05:30,PTI,ITC brand Fortune Hotels targets opening a new hotel every month in FY25,"Elaborating on the challenges for India's hospitality sector, Samir said economic uncertainties, such as fluctuations in exchange rates, geo-political tensions, and global economic downturns, can impact travel demand and consumer spending, posing challenges for hotels in terms of revenue management, occupancy rates, and profitability.","Fortune Hotels, a member of ITC's hotel group, is planning to open a new hotel every month in the current financial year, the company's Managing Director Samir MC said on Wednesday. In an interview to PTI, Samir shared the expansion plans of Fortune Hotels, which has just opened its first international hotel -- Fortune Resort & Wellness Spa Bhaktapur -- in Nepal.  He described it as a significant milestone in the company's  beyond borders  expansion strategy, envisioning its presence in South Asia and proximal markets.   Following on the heels of this prestigious opening, we are poised to open at least four to six more hotels in the first half of the fiscal year in unique destinations like Kevadia (Ekta Nagar, Gujarat), Candolim (Goa), Palampur (Himachal Pradesh), and a beach resort in Chennai amongst others and an equal number in H2 (second half: October-March),  Samir said.   This pace aligns with our goal of establishing a new hotel almost every month in this fiscal year, marking significant progress towards our expansion targets,  he added.  Elaborating on the challenges for India's hospitality sector, Samir said economic uncertainties, such as fluctuations in exchange rates, geo-political tensions, and global economic downturns, can impact travel demand and consumer spending, posing challenges for hotels in terms of revenue management, occupancy rates, and profitability.  He cited the increasing global travel trends, driven by rising disposable incomes, a desire for unique experiences, and improved accessibility, as  significant opportunities  for the hospitality sector to attract a diverse range of travellers.",https://economictimes.indiatimes.com/markets/stocks/news//industry/services/hotels-/-restaurants/itc-brand-fortune-hotels-targets-opening-a-new-hotel-every-month-in-fy25/articleshow/109755559.cms
ITC,2024-04-29T19:11:00+05:30,PTI,Mcap of BSE-listed companies soar to all-time high of Rs 406.52 lakh cr,​The market capitalisation of BSE-listed companies soared to an all-time high of Rs 406.52 lakh crore on Monday thanks to a rally in equities where the BSE Sensex climbed over 1 per cent. ,"The market capitalisation of BSE-listed companies soared to an all-time high of Rs 406.52 lakh crore on Monday thanks to a rally in equities where the BSE Sensex climbed over 1 per cent. The 30-share BSE Sensex rallied 941.12 points or 1.28 per cent to finish at 74,671.28. During the day, it zoomed 990.99 points or 1.34 per cent to 74,721.15.  The market capitalisation (mcap) of BSE-listed companies reached a record peak of Rs 4,06,52,419.94 crore (USD 4.90 trillion). Investors' wealth climbed by Rs 2,48,043.51 crore on Monday.   Markets witnessed phenomenal buying support as Sensex quickly moved towards the crucial 75K mark after investors cheered strong corporate earnings from select frontline banking and cement companies, indicating their smooth sailing despite the global vagaries.   Optimism prevailed from the start of the trading session as cooling of US bond yields and letdown in the Middle East conflict coupled with a drop in crude oil prices generated a lot of enthusiasm amongst the investors,  Prashanth Tapse, Senior VP (Research) at Mehta Equities Ltd, said.  The two-day Fed's monetary policy meeting starting Tuesday will be closely watched by global investors, although markets don't expect any change in the policy outcome, he added.  From the Sensex basket, ICICI Bank climbed nearly 5 per cent after the company on Saturday said its March quarter consolidated net profit grew 18.5 per cent to Rs 11,672 crore, helped by lower provisions.  State Bank of India, IndusInd Bank, UltraTech Cement, Axis Bank, NTPC, Kotak Mahindra Bank, Tata Consultancy Services, Bajaj Finance, HDFC Bank and Sun Pharma were the other major gainers.  HCL Technologies tanked nearly 6 per cent after the company reported a flat year-on-year growth in net profit in the March quarter at Rs 3,986 crore.  ITC, Wipro and Bajaj Finserv were the other laggards.  In the broader market, the BSE midcap gauge jumped 0.79 per cent and smallcap index advanced 0.07 per cent.   The Indian benchmark indexes rebounded, aided by an upbeat in US tech quarter earnings and a drop in US 10-year yield. Domestically, the Bank Nifty outperformed, driven by its strong performance in the fourth quarter. An ease in the Middle East tensions, coupled with stable earnings, is expected to maintain positive market sentiment,  Vinod Nair, Head of Research at Geojit Financial Services, said.  Indian markets opened in the green following positive Asian markets, said Narendra Solanki, Head Fundamental Research - Investment Services, Anand Rathi Shares and Stock Brokers.  Traders are awaiting the US Fed's policy meeting decision this week post hotter-than-expected inflation print. Traders were seen piling up positions in the banking sector's stocks, Solanki added.  Among the indices, bankex jumped 2.70 per cent, financial services (1.81 per cent), utilities (1.12 per cent), power (0.90 per cent) and energy (0.79 per cent).  Realty and services were the laggards.  A total of 2,015 stocks advanced while 1,894 declined and 179 remained unchanged.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/mcap-of-bse-listed-companies-soar-to-all-time-high-of-rs-406-52-lakh-cr/articleshow/109698878.cms
ITC,2024-04-28T15:23:00+05:30,Navdeep Singh,Ahead of Market: 10 things that will decide stock action on Monday,"Domestic benchmark equity indices experienced a decline on Friday, primarily due to weakness in the financial sector. However, these losses did not overshadow the weekly gains, which were fueled by a post-results rally in key index constituents and reduced concerns regarding the Middle East.","Domestic benchmark equity indices experienced a decline on Friday, primarily due to weakness in the financial sector. However, these losses did not overshadow the weekly gains, which were fueled by a post-results rally in key index constituents and reduced concerns regarding the Middle East.The NSE Nifty 50 was down 0.67% to 22,420, on the day, while the S&P BSE Sensex shed 0.82% to 73,730. Both the indexes snapped a five-day winning streak. However, for the week, the Nifty 50 and Sensex gained about 1.25% and 1%, respectively.Here's how analysts read the market pulse: The Nifty witnessed selling pressure throughout the day and closed weak for the day down ~120 points. On the daily charts, we can observe that the Nifty has faced selling pressure from the resistance zone of 22560 – 22625. Until this zone is not taken out decisively, we can expect the consolidation to continue. On the downside, crucial support is now placed at 22240 – 22200 where support parameters in the form of the 40-day moving average and the 50% Fibonacci retracement level of the rise from 21777 – 22626 is placed,  said Jatin Gedia of Sharekhan.Rupak De of LKP Securities, said,  Nifty remained under selling pressure throughout the session as the index failed to sustain above the crucial level of 22500. On the daily chart, a dark cloud cover pattern is observed, indicating a potential bearish reversal. Immediate support is situated at 22300, below which the Nifty could extend its losses towards 22000. On the other hand, the level of 22500 might act as a technical resistance for the Nifty. That said, here’s a look at what some key indicators are suggesting for Monday's action:US Market Close HigherUS stocks closed higher on Friday, buoyed by a rally in megacap growth stocks following robust quarterly results from technology heavyweights Alphabet and Microsoft in addition to moderate inflation data.The S&P 500 and the Nasdaq registered their biggest weekly percentage gains since early November 2023. Benchmark S&P 500 snapped three weeks of losses, while the Nasdaq ended four straight weeks of declines.The Dow Jones Industrial Average rose 0.40%, the S&P 500 gained 1.02% and the Nasdaq Composite gained 2.03%.European Shares Notch 1.8% Weekly GainThe pan-European STOXX 600 index closed 1.2% higher, notching up a weekly gain of 1.8%, its biggest since late January.The basket of STOXX 600 banks touched a nine-month high, aided by a 6.1% jump in NatWest after the British bank's first-quarter results.Tech View: Dark cloud cover candlestickNifty ended 150 points lower on Friday to form a dark cloud cover candlestick on the daily chart while the weekly one saw a high wave type candle suggesting consolidation in the near term.The short-term trend of Nifty seems to have reversed down after a reasonable rise from the lows. Immediate support is placed at 22300 and the weakness below this support could trigger more declines ahead. Immediate resistance is at 22625 levels, Nagaraj Shetti of HDFC Securities said.Stocks showing bullish bias:Momentum indicator Moving Average Convergence Divergence (MACD) showed bullish trade on the counters of HUDCO, Westlife Foodworld, Tech Mahindra, DCM Shriram, Lemon Tree Hotels, and Bank of Maharashtra among others.The MACD is known for signaling trend reversals in traded securities or indices. When the MACD crosses above the signal line, it gives a bullish signal, indicating that the price of the security may see an upward movement and vice versa.Stocks signaling weakness aheadThe MACD showed bearish signs on the counters of Borosil Renewables, Tata Consumer, Tamilnad Mercantile, Mankind Pharma, CSB Bank, and Bajaj Finance among others. Bearish crossover on the MACD on these counters indicated that they have just begun their downward journey.Most active stocks in value termsBajaj Finance (Rs 3,948 crore), Kotak Bank (Rs 3,602 crore), Tech Mahindra (Rs 2,663 crore), HDFC Bank (Rs 1,883 crore), ICICI Bank (Rs 1,572 crore), RIL (Rs 1,370 crore), and SBI (Rs 1,204 crore) among others were among the most active stocks on NSE in value terms. Higher activity on a counter in value terms can help identify the counters with highest trading turnovers in the day.Most active stocks in volume termsTata Steel (Shares traded: 6.5 crore), Kotak Bank (Shares traded: 2.2 crore), Tech Mahindra (Shares traded: 2 crore), Power Grid (Shares traded: 1.6 crore), SBI (Shares traded: 1.5 crore), ITC (Shares traded: 1.4 crore), and ICICI Bank (Shares traded: 1.4 crore) among others were among the most traded stocks in the session on NSE.Stocks showing buying interestShares of Hindalco, Eicher Motors, Tata Steel, SBI, and JSW Steel among others witnessed strong buying interest from market participants as they scaled their fresh 52-week highs, signaling bullish sentiment.Stocks seeing selling pressureShares of Sheela Foam hit their 52-week lows, signaling bearish sentiment on the counter.Sentiment meter favours bullsOverall, market breadth favoured bulls as 1,920 stocks ended in the green, while 1,866 names settled in the red.(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of Economic Times)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-action-on-monday/articleshow/109664887.cms
