Company,Date of Publishing,Author,Headline,Description,Article Body,URL
airtel,2024-04-12T13:54:00+05:30,TOI Tech Desk,Airtel may increase mobile tariff by 15-17% post Lok Sabha election,"TECH NEWS : Antique Stock Broking anticipates a 15-17% telecom tariff hike post Lok Sabha elections, with Airtel's ARPU potentially reaching Rs 286 by FY27. Jio i","The country’s telecom industry may see a 15-plus tariff hike in the range of 15-17 percent following the Lok Sabha elections, according to a recent analysis by Antique Stock Broking, as reported by new agency PTI. The report, which terms the tariff increase as ""imminent,"" identifies Bharti Airtel as the biggest beneficiary of this move. The Lok Sabha elections are scheduled from April 19 to June 1.""We expect the industry to take a 15-17 per cent tariff hike post the elections,"" the analyst stated, highlighting the positive outlook for the telecom sector in the coming years.The report predicts that Airtel's current industry-leading ARPU (Average Revenue Per User) of Rs 208 will rise to Rs 286 by the end of FY27. This growth will be driven by several factors, including the expected tariff hike contributing Rs 55, the upgradation of 2G customers to 4G adding Rs 10, and customer upgradation to higher data plans (both 4G and 5G) and postpaid plans delivering an additional Rs 14.Airtel could record its best finances in over a decade""We expect Bharti's subscriber base to grow at about two per cent per annum, against the industry growth of one per cent per annum,"" the Antique Stock Broking added, emphasising Airtel's strong position in the market.The brokerage firm anticipates Airtel to experience its best financial performance in over a decade, driven by the tariff hike, 2G upgradation, robust growth in enterprise and Fibre-to-the-Home segments, and a decrease in capital expenditure following the 5G rollout.""While challenges do exist as Bharti has chosen a different 5G rollout path versus key competitors, we believe it is unlikely to dent Bharti's subscriber base or growth significantly,"" the brokerage firm noted, addressing potential concerns about Airtel's 5G strategy.Vodafone Idea, BSNL struggles with declining market shareThe report also highlights the declining market share of Vodafone Idea and state-owned BSNL, with the former struggling due to financial woes and the latter facing execution challenges. ""While Vodafone Idea is down from 37.2 per cent in September 2018 to almost half at 19.3 per cent in December 2023, Bharti's market share is up from 29.4 per cent to 33 per cent during this period. Jio is the biggest gainer rising from 21.6 per cent to 39.7 per cent,"" the report stated. Despite the consolidation in the telecom industry, the report emphasises that competitive intensity remains high.",https://timesofindia.indiatimes.com/technology/tech-news/airtel-may-increase-mobile-tariff-by-15-17-post-lok-sabha-election-report/articleshow/109241547.cms
airtel,2024-03-12T13:15:00+05:30,TOI Tech Desk,"Airtel CEO sets important customer KRA for the company's 19,000 employees for March 12, wants them to cancel all business meetings","TECH NEWS : Bharti Airtel's managing director Gopal Vittal has set an important KRA for the company's 19,000 odd employees for today, March 12.","Bharti Airtel's managing director Gopal Vittal has set an important KRA for the company's 19,000 odd employees for today, March 12. Vittal has called on all employees of the company, including senior executives, across India to cancel all business meetings on Tuesday and spend the entire day on the field with customers to get a fix on service challenges they face. The exercise is said to be part of a national brand-building drive to position Airtel as a customer-obsessed telco that is keen on eliciting direct market feedback from its target audience on the state of 2G, 4G and 5G mobile operations as well as home broadband services. This comes as Airtel is set to complete its pan-India 5G network roll out later this month. As of end-December 2023, the telco had 65 million pure 5G users.Vittal wrote an internal email communication to all Airtel employees regarding the same, here's the email that he sent:Dear FriendsI am looking forward to all of you participating with full energy in the Customer Day tomorrow.This is a very important day where we celebrate our front line staff who serve customers. Remember at Airtel there are only two types of people. Those who serve customers and then those who serve those who serve customers.Tomorrow is an opportunity for you to discover first-hand what challenges our front line staff face and how they serve customers. As you do this please do consider talking to our customers and learning a little bit more about a day in the life of our store staff, our engineers and our sales people.As we step out tomorrow, I would like you to keep a few things top of mind:Embrace the Customer Day Spirit! Come with an enthusiastic and positive attitude. Remember, these interactions will help us understand customer needs on a deeper level. Be respectful to the customer and ensure you don’t ask leading questions.Share your Observations! Your insights are crucial in shaping our future strategy. Actively listen to our customers and front end employees. On the same day share your observations through the online form.Fuel Our Customer Obsession! Customer Day is a powerful reminder that we are here to serve customers and provide an exceptional experience.I am excited to hit the market - #LetsPaintItRED!RegardsGopal",https://timesofindia.indiatimes.com/technology/tech-news/airtel-ceo-sets-important-customer-kra-for-the-companys-19000-employees-for-march-12-wants-them-to-cancel-all-business-meetings/articleshow/108427784.cms
airtel,2024-04-12T08:09:00+05:30,Bloomberg,Bharti Hexacom set to debut after India’s biggest IPO in a year,"India Business News: Bharti Hexacom Ltd, a telecom service provider, is beginning trading today following its successful initial public offering (IPO) that raised 42.75 bi","Telecom service provider Bharti Hexacom Ltd is set to start trading in Mumbai after an initial public offering that raised 42.75 billion rupees ($514 million) to become India’s largest in about a year. Shareholder Telecommunications Consultants India Ltd sold 75 million shares in the company at 570 rupees apiece last week, the top of a marketed range. The offering drew bids for more than 30 times the number of shares on offer. Trading begins at around 10 a.m. local time on Friday. Bharti Hexacon’s IPO is the country’s largest since Mankind Pharma Ltd raised 43.3 billion rupees a year ago. A strong start could help open a window for more large deals in India, dubbed by bankers as one of the hottest spots for first-time share sales in Asia this year.“Bharti Hexacom is well-positioned to capitalize on the evolving market trends and consumer preferences,” said Rajan Shinde, Mumbai-based analyst at Mehta Equities Ltd.The offering may further boost activity in the equities market that has mainly been hosting IPOs smaller than $100 million in size over the past year. Those share sales drew a strong response from retail investors and surged after listing, drawing scrutiny by regulators concerned about market froth. In the past 12 months through Wednesday, only two offerings in India raised more than $500 million. Companies that went public in India over the past five years after IPOs larger than $500 million rose 7.5% on average on their first trading day, according to Bloomberg-compiled data. That compares with a 32% increase for similar listings in Asia Pacific over the same period. Bharti Hexacom, a unit of Bharti Airtel Ltd, provides fixed-line telephone and broadband services in two circles in India that make up about 7% of industry customers, according to the prospectus. SBI Capital Markets, Axis Capital, BOB Capital Markets, ICICI Securities and IIFL Securities are the lead managers to the sale.",https://timesofindia.indiatimes.com/business/india-business/bharti-hexacom-set-to-debut-after-indias-biggest-ipo-in-a-year/articleshow/109231285.cms
airtel,2024-04-12T07:13:00+05:30,TOI Tech Desk,Airtel-backed company: Reliance Jio is unnecessarily trying to confuse matters by ...,TECH NEWS : Reliance Jio and Bharti Group clash over satellite spectrum usage for internet services in remote areas of India. Eutelsat OneWeb aims for a business-,"There's a brewing battle between Reliance Jio and Bharti Group over how satellite spectrum should be used to deliver internet services in remote areas of India. The key point of contention is whether Bharti-backed Eutelsat OneWeb should be allowed to leverage administratively allocated spectrum, without auctions, for commercial fixed wireless access (FWA) services. Bharti-backed Eutelsat OneWeb has reportedly rejected Jio’s contention that administratively allocated satellite spectrum can’t be used for offering commercial FWA services merely since it is a 5G use case.“Jio is unnecessarily trying to confuse matters by comparing apples with oranges. It’s a clear fact that 5G-based FWA services will be directly offered by telcos to millions of retail users across India whereas satellite-based services will only be offered in the country’s remote, unconnected regions, primarily to enterprises, defence forces, government health centres and for disaster management operations via a B2B model,” a senior Eutelsat OneWeb executive told Economic Times.Eutelsat OneWeb, in fact, asserts that it is not in competition with Jio as it will not be directly offering satellite-based FWA services to retail users.Reliance Jio argues that this approach gives Bharti Airtel-backed Eutelsat OneWeb an unfair advantage. Eutelsat OneWeb counters that their services differ significantly from Jio's 5G-based FWA aimed at millions of users. They plan to target remote locations, businesses, and government agencies with a business-to-business model. Jio maintains this distinction is irrelevant and insists all satellite FWA spectrum should be auctioned.Both companies see immense potential in this market. Eutelsat OneWeb aims to be the first global satellite internet provider in India, while Jio seeks to avoid losing ground in this new frontier. The Indian government's decision on how to allocate and price commercial satellite spectrum will likely determine the outcome of this clash.Government may not allot satcom airwaves in a rushThe government on its part is said to be in no hurry to allot spectrum to satcom companies like Bharti-backed Eutelsat Oneweb and Reliance Jio’s satellite venture, damping the hopes of an early roll out of services by the companies that have been pushing for a quick allotment, even if on a temporary basis.“It will take a few months to finalise how we must move forward. If required, views of the regulator will be sought, and we may also undertake some consultation with the stakeholders,” one of the senior DoT officials told ET.",https://timesofindia.indiatimes.com/technology/tech-news/airtel-backed-company-reliance-jio-is-unnecessarily-trying-to-confuse-matters-by-/articleshow/109230756.cms
airtel,2024-05-01T16:35:00+05:30,TOI Tech Desk,Airtel Xstream Play partners Sun NXT: List of 23 apps on the OTT platform,"TECH NEWS : Airtel Xstream partners Sun NXT to enrich regional content library. Sun NXT provides vast content in multiple languages, including movies, series, liv","Airtel Xstream has partnered with Sun NXT to boost its regional content library. The telecom provider’s OTT aggregator service which claims to have over five million paid subscribers will now include content from regional video streaming platform Sun NXT which is owned and operated by the Sun TV Network Limited.With this addition, Airtel Xstream customers can now access Sun NXT’s 50,000+ hours of content which includes multiple titles across blockbuster movies, exclusive series, TV shows, live TV, kid’s content and more. This content will be available in a whole host of languages from Tamil to Telugu, Kannada, Malayalam, Bangla and Marathi. Sun NXT also claims to be South India’s largest OTT service provider with a movie catalogue of over 4000 films; 30,000+ hours of Video on Demand content. Its also the only OTT platform in India that offers 33+ Live TV channels and select Live TV channels in Dolby Vision quality.Airtel Xstream Play users can access content from across 23 content apps which makes it one of the largest offerings of OTT content aggregated on a single app in India.Airtel Xstream also offer other features like a single subscription, single sign-in, unified content search and AI-driven personalised curation for each customer. Users can also access Airtel Xstream Play across multiple devices including mobiles, tablets and laptops through the app or web and even on larger screens.List of OTT platforms available on Airtel Xstream PlayHere’s a list of 23 OTT platforms that will be available for Airtel Xstream Play users:Sun NXTSony LIVLionsgate PlayChaupalHoichoiFanCodeManoramaMaxShemarooMeAlt BalajiUltra ErosNowEPIConDocubayPlayflix K-DramaAhaStageKanccha LannkaNamma FlixHungamaKlikkRaj DigitalShorts TVDollywood Play",https://timesofindia.indiatimes.com/technology/tech-news/airtel-xstream-play-partners-sun-nxt-list-of-23-apps-on-the-ott-platform/articleshow/109754703.cms
airtel,2024-05-02T17:49:00+05:30,TOI Tech Desk,"Airtel Payments Bank launches Soundbox for merchants across the country, takes on Paytm Soundbox","TECH NEWS : Airtel Payments Bank's suite, led by Anubrata Biswas, promotes digital banking adoption among small and mid-size merchants. It includes insurance, loa","Airtel Payments Bank has introduced its own soundbox, rivaling Paytm's Soundbox and Google's SoundPod. The all-new soundbox from Airtel Payments Bank aims to transform the banking and payment landscape for merchants across the country. The payment suite integrates banking and payment functionalities into a single platform, offering unparalleled convenience and efficiency to merchant partners.The Soundbox, a key suite feature, delivers audio notifications for every customer transaction via QR codes at merchant shops. Merchants can personalise their experience by selecting from a range of languages for payment confirmations. Presently, the Airtel soundbox supports Hindi and English languages, with nine more language options to be rolled out soon.Comprehensive package with zero-balance current account and soundboxThe comprehensive package combines the benefits of Airtel Payments Bank's zero-balance current account, QR code-based payment acceptance, and the newly launched Soundbox, which provides audible payment confirmations. The zero-balance current account caters to the needs of small and mid-size businesses, offering instant account opening, seamless fund settlement, and hassle-free cash deposits and withdrawals at designated banking points, all at a fixed, one-time cost.Complimentary insurance benefits and loan optionsThe suite also includes complimentary insurance benefits to ensure financial security for merchants in the event of accidents, hospitalisation, or unforeseen damage to their shops. Merchants have the flexibility to choose any two insurance plans of their liking, each valid for one year.Furthermore, the Business Solution Suite empowers merchants to apply for loans digitally through the Airtel Payments Bank's business app. The Bank has partnered with leading lenders to offer seamless access to a suite of business, personal, and gold loans, with loan amounts ranging from INR 10,000 to INR 10,00,000, depending on the loan type and eligibility assessments.Anubrata Biswas, MD and CEO of Airtel Payments Bank expressed his enthusiasm for the launch, stating, ""The solution stands apart in the industry for being user-need-focused, developed after extensive research, and designed to encourage the adoption of digital banking among small and mid-size merchants.""",https://timesofindia.indiatimes.com/technology/tech-news/airtel-payments-bank-launches-paytm-soundbox-rival-all-the-details/articleshow/109788301.cms
airtel,2024-04-22T17:42:00+05:30,TOI Tech Desk,Airtel launches international roaming plan that will work in 184 countries: Price and other details,"TECH NEWS : Airtel introduces international roaming plans for 184 countries at Rs 133/day, simplifying travel with auto-renewal via the Thanks app. Users no longe","Airtel has launched common international roaming plans for its customers. These new IR pans will be available for 184 countries and the tariffs start at as low as Rs 133/day. Airtel calls this “One Plan to travel anywhere in the world”.Moreover, these international roaming plans will also offer enhanced data benefits, in-flight connectivity and 24x7 contact centre supportWhat this change means for usersEarlier, for subscribing to international roaming plans, the tariffs varied across different countries. In simpler words, users had to buy different plans based on the country they were travelling to. To make things more convenient, Airtel has ensured that customers travelling to 184 countries no longer need to subscribe to multiple plans for various travel destinations. With these plans, Airtel users will have the convenience of simply choosing the duration of travel and enjoying connectivity anywhere in the world through a single plan.Untitled Carousel 109194610 109485792Apart from this, Airtel is also offering a new auto-renewal feature for frequent travellers. This removes the need to buy the pack multiple times and enables hassle-free travel via the Airtel Thanks appList of Airtel International Roaming plans that work in 184 countriesPriceDataValidityBenefitsRs 649500 MB1 Day10 SMS, 100 OG/IC Minutes (India+Local)Rs 7551 GB5 Days1 GBRs 756-5 Days100mins IC+OG (IN+Local) Rs 8991 GB10 Days1 GB, 100mins IC+OG (IN+Local), 20 SMSRs 29985 GB30 Days5 GB, 200mins IC+OG (IN+Local), 20 SMS; In-Flight- 250 MB, 100mins OG, 100 SMS, 24hrs Validity (Selected Intl Flights)Rs 29972 GB365 Days2 GB, 100mins IC+OG (IN+Local), 20 SMS In-Flight- 250 MB, 100mins OG, 100 SMS, 24hrs Validity (Selected Intl Flights)",https://timesofindia.indiatimes.com/technology/tech-news/airtel-launches-international-roaming-plan-that-will-work-in-184-countries-price-and-other-details/articleshow/109504127.cms
airtel,2024-05-01T11:54:00+05:30,TOI Tech Desk,Airtel prepaid and postpaid plans that offer free Netflix subscription,"TECH NEWS : Airtel's postpaid plans like Rs 1499 offer free Netflix, Disney+ Hotstar, Prime Video, 200GB data, unlimited calling, and 100 daily SMS. The Rs 1199 p","Airtel has a range of prepaid and postpaid plans available for its customers. Among them, some come with complimentary OTT subscriptions and a few of them include Netflix as well. Here is a list of all the prepaid and postpaid plans from Airtel that offer Netflix subscriptions for free along with other benefits like calling, SMS, data, etc. Airtel Netflix prepaid and postpaid plansAirtel offers three plans that come with a Netflix subscription for free. There are two postpaid plans and one prepaid plan available for customers. Here’s a list.Airtel Rs 1499 postpaid planThis is the most expensive postpaid plan to offer a free Netflix subscription. Additionally, the plan also includes a Disney+ Hotstar subscription and Prime Video subscription. Other benefits include 200GB of data with data rollover, unlimited calling and 100SMS per day.Airtel Rs 1199 postpaid planAirtel Rs 1199 postpaid plan comes with unlimited calling, 150GB data with data rollover, Netflix, Amazon Prime Video and Disney+ Hotstar subscription. Airtel Netflix prepaid planAirtel’s Rs 1,499 Netflix prepaid plan comes with a basic subscription which costs Rs 199. Apart from this, the plan also offers unlimited calling, 100SMS per day, 3GB daily data, unlimited 5G data and Airtel Thanks benefits.Do note that the Netflix subscription is included with these plans are Netflix (Basic) plan which costs Rs 199 and it offers single-screen viewing at 720p resolution. It works across devices including TV, smartphones and the web. Postpaid PlanPrice (Rs)BenefitsRs 14991499- Free Netflix subscription- Disney+ Hotstar subscription- Prime Video subscription- 200GB data with rollover- Unlimited calling- 100 SMS per dayRs 11991199- Netflix subscription- Amazon Prime Video subscription- Disney+ Hotstar subscription- 150GB data with rollover- Unlimited callingAirtel Netflix1499- Basic Netflix subscription (Rs 199)Prepaid Plan- Unlimited calling- 100 SMS per day- 3GB daily data- Unlimited 5G data- Airtel Thanks benefits",https://timesofindia.indiatimes.com/technology/tech-news/airtel-prepaid-and-postpaid-plans-that-offer-free-netflix-subscription/articleshow/109747755.cms
airtel,2024-04-10T16:01:00+05:30,Deeksha Somani,"How to port your Jio, Vi or BSNL number to Airtel online: Know the process","TECH TIPS News: The Indian telecom landscape with major players like Jio, Vi, BSNL, and Airtel allows users to switch providers. Follow a step-by-step guide to port y","The Indian telecom industry is home to several major players, with Jio, Vi (Vodafone Idea), BSNL (Bharat Sanchar Nigam Limited), and Airtel leading the market in terms of user base. However, subscribers may sometimes wish to switch from one telecom provider to another due to various reasons. If you're considering porting your mobile number from Jio, Vi, or BSNL to Airtel, there's a specific process you need to follow. Below, we provide a comprehensive step-by-step guide on how to port your phone number to Airtel, both through online and offline methods.Port Your Mobile Number to Airtel OnlineStep 1: Initiate Porting Request and Generate UPCTo begin the porting process, send an SMS with the message ""PORT <space> your mobile number"" to 1900. This will generate a Unique Porting Code (UPC) that you will receive via SMS.Step 2: Receive and Note the UPCUpon sending the SMS, you will receive the UPC via SMS. Make sure to note down this code as it will be required for the next steps.Step 3: Select Airtel Recharge Plan and Fill FormVisit Airtel's website or app to select the recharge plan of your choice. You will also need to fill out a form with your personal details, including address, email, and phone number.Step 4: Submit the FormAfter filling out the form, click on the 'Submit' button to proceed with your porting request.Step 5: Await Airtel Executive's CallFollowing your port request submission, expect a call from an Airtel executive who will confirm the delivery of your new Airtel SIM card.Step 6: Provide Identification and Address ProofWhen the Airtel executive delivers the SIM card, ensure you have valid identification and address proof documents (such as Aadhaar card, driving licence, or utility bill) ready along with the UPC code received earlier.Step 7: Activation of Your Airtel NumberUpon successful verification of your documents and UPC, your existing number will be activated on the Airtel network within 48 hours.Port Your Mobile Number to Airtel OfflineStep 1: Visit the Nearest Airtel StoreIf you prefer the traditional offline method, locate the nearest Airtel store in your area.Step 2: Bring Essential DocumentsEnsure you carry valid identity and address proof documents such as Aadhaar card, driving licence, or electricity bill.Step 3: Generate UPC CodeAt the Airtel store, generate the Unique Porting Code (UPC) by sending an SMS with the message ""PORT <space> your phone number"" to 1900.Step 4: Receive UPC CodeAfter sending the SMS, you will receive the UPC code via SMS on your mobile number.Step 5: Provide Details at Airtel StoreVisit the Airtel store and provide your alternative mobile number, address proof, UPC code, and OTP received at that moment.Step 6: Complete Document FormalitiesComplete the necessary document formalities as instructed by the Airtel store executive.Step 7: Pay for Initial RechargeAfter completing the formalities, you will need to pay for the initial recharge plan required for porting to Airtel.Step 8: Activation Within 48 HoursYour SIM will be successfully ported to Airtel within 48 hours after completing all the steps at the Airtel store.Also read | GTA 6 trailer sets new records; here's what making the waves",https://timesofindia.indiatimes.com/technology/tech-tips/how-to-port-your-jio-vi-or-bsnl-number-to-airtel-online-know-the-process/articleshow/109194610.cms
airtel,2024-04-18T18:41:00+05:30,TOI Tech Desk,"Bharti Airtel, Dialog and Axiata Group sign definitive agreement to merge operations in Sri Lanka","TECH NEWS : Dialog, Axiata, and Bharti Airtel signed an agreement for Dialog to acquire Airtel Lanka in Sri Lanka. The merger aims for operational efficiencies, s","Dialog Axiata PLC (“Dialog”), Axiata Group Berhad (“Axiata”) and Bharti Airtel Limited (“Bharti Airtel”) (collectively “the Parties”), signed a Definitive Agreement to combine their operations in Sri Lanka. Under this agreement, Dialog will acquire 100% of the issued shares in Airtel Lanka, in consideration of which Dialog will issue to Bharti Airtel, ordinary voting shares which will amount to 10.355% of the total issued shares of Dialog by way of a share swap. The transaction is subject to the approval of Dialog's shareholders and is pending the completion of specific conditions outlined in the Share Sale Agreement, including clearance from the Colombo Stock Exchange (CSE) and completion of other applicable legal, corporate and regulatory compliance procedures. The Telecommunications Regulatory Commission of Sri Lanka (TRCSL) has granted its approval for the proposed merger, underscoring its vision to advance the adoption of telecommunications services across Sri Lanka. This consolidation will enable the merged entity to garner economies of scale and reduce duplication of infrastructure, achieve synergies in technology and capital expenditure leading to enhanced high speed broadband connectivity, voice and value added services, cost savings and operational efficiencies.Vivek Sood, Group CEO and Managing Director of Axiata Group Berhad said, ""The merger between Dialog and Airtel Lanka is aligned to Axiata’s strategy of market consolidation and resilience. The merger will create value for Shareholders of Dialog Axiata PLC and of Axiata Group through achievable synergies. We have the utmost respect for Airtel Lanka and its employees and look forward to working together as we integrate the two companies”.Commenting, Dr Hans Wijayasuriya, CEO Telecommunications Business and Group Executive Director of Axiata, added “This merger brings together the strengths of two leading telco groups and bodes well for the Growth and Sustainability of Sri Lanka’s flagship Telecom Sector. We look forward to the new frontiers in Customer Experience and innovation the company will deliver to Sri Lankan Consumers and Enterprises.”Gopal Vittal, MD & CEO, Bharti Airtel Limited said, “We are happy to merge our Sri Lanka operations with Dialog. Given the scale and unique propositions they offer, we are certain that our customers will continue to enjoy cutting edge services on a seamless network.”“It is a privilege to welcome the team at Airtel Lanka to the Dialog family and together we take a significant step forward in our commitment to delivering superior telecommunications services in Sri Lanka”, remarked Supun Weerasinghe, Director / Group Chief Executive Officer of Dialog Axiata PLC.“The integration of Dialog and Airtel Lanka operations will unlock new opportunities for innovation and growth, and this will lead to benefit consumers.” Ashish Chandra, Chief Executive Officer, Bharti Airtel Lanka (Private) Limited.",https://timesofindia.indiatimes.com/technology/tech-news/bharti-airtel-dialog-and-axiata-group-sign-definitive-agreement-to-merge-operations-in-sri-lanka/articleshow/109406922.cms
airtel,2024-04-18T18:34:00+05:30,TOI Tech Desk,"Airtel Payments Bank launches interoperable NCMC-enabled debit and prepaid cards: Benefits, how to get one and more","TECH NEWS : Airtel Payments Bank launches eco-friendly NCMC enabled debit and prepaid cards, allowing safe and secure contactless payments at various locations in","Airtel Payments Bank has launched its eco-friendly NCMC (National Common Mobility Cards) enabled debit and prepaid cards. The Bank has entered into partnership with National Payments Corporation of India (NPCI) to launch these interoperable cards. Airtel Payments Bank has introduced NCMC enabled debit card for its savings account customers and NCMC enabled pre-paid card for the wallet customers. Both cards are being made from eco-friendly e-PVC material.Where can the customers use this cardCustomers can use any of the cards to make safe, secure and contactless payments at all merchant establishments, online (e-commerce), as well as offline NCMC transit transactions at metros, buses, parking, etc across the country. At metro stations, commuters would just have to tap and go at the gates without the hassle to get in queues and purchase tickets.The card also enables the issuance of concession and monthly passes wherever supported by the transport operator, eliminating the need to purchase and manage multiple cards for different transport operators.How can the customers order the NCMC-enabled debit and prepaid cardsCustomers can now order Airtel Payments Bank’s NCMC enabled Debit Card from the Airtel Thanks App, or acquire it by visiting the nearest banking points or from any of the designated points at the various metro stations. The NCMC enabled Prepaid Cards will soon be available on online and retail platforms.",https://timesofindia.indiatimes.com/technology/tech-news/airtel-payments-bank-launches-interoperable-ncmc-enabled-debit-and-prepaid-cards-benefits-how-to-get-one-and-more/articleshow/109406839.cms
airtel,2024-05-03T23:56:00+05:30,TOI Tech Desk,Reliance Jio and Airtel add mobile subscribers; while these two companies lose in March 2024,"TECH NEWS : In March 2024, India's telecom sector saw growth with Reliance Jio and Bharti Airtel gaining subscribers. However, Vodafone Idea, BSNL, and MTNL exper","India's telecom subscriber base reached 1.199 billion in March 2024, reflecting a slight monthly increase, according to a report by the Telecom Regulatory Authority of India (Trai).The growth was driven by new customer additions from Reliance Jio (2.14 million) and Bharti Airtel (1.75 million). However, Vodafone Idea (VIL) lost subscribers (0.68 million), along with state-owned operators BSNL (2.35 million) and MTNL (4,674).The report also highlights trends in the broadband segment, which grew to 924 million subscribers in March. This growth was primarily fueled by wireless broadband connections, reaching 883.2 million, while wired connections saw a more modest increase to 4.06 million.Here's a quick breakdown of the key findings:* Overall Subscribers base in India: 1.199 billion (0.13% monthly growth)* Mobile Subscriber Leaders: Reliance Jio (subscriber gain), Bharti Airtel (subscriber gain), VIL (subscriber loss), BSNL (subscriber loss), MTNL (subscriber loss)* Broadband Subscribers in India: 924 million (0.80% monthly growth)* Broadband Type: Wireless dominates (883.2 million), wired connections show some growth (4.06 million)* Top 5 Broadband Providers in India: Reliance Jio, Bharti Airtel, VIL, BSNL, Atria Convergence (combined market share: 98.36%)This Trai report suggests that while India's telecom market is expanding slowly, competition remains fierce among service providers. The dominance of wireless broadband also continues, with wired connections playing a smaller role.",https://timesofindia.indiatimes.com/technology/tech-news/reliance-jio-and-airtel-add-mobile-subscribers-while-these-two-companies-lose-in-march-2024/articleshow/109825046.cms
airtel,2024-04-05T15:14:00+05:30,SPOTLIGHT,Recharge and unwind: Experience togetherness and unlimited entertainment at home!,Spotlight News: This article discusses Airtel Xstream Fiber's unlimited options for complete entertainment. ,"Don’t we all cherish the long-awaited weekend? No urgent notifications, lazying into the longer hours of the morning, and leisurely breakfast that zones into brunches. It even gets better when you get some much-needed family time and can hit the snooze button on your regular programming. This picture-perfect family time gets even better when the whole family parks itself in front of the TV to enjoy something together. And with today’s evolving entertainment landscape, the choices on what to watch are endless. The surge of OTT apps and the rise of smart TV have ensured ‘zordaar entertainment’.While a greater variety of entertainment is at our disposal in the form of daily soaps, web series, etc., managing different apps and subscriptions is exhausting.This is where Airtel Xstream Fiber steps in to enhance your family bonding moments. It provides bundle offers that are rich in value and convenience and bring forth a multi-faceted digital experience. A new facet to a traditional cultural experienceIn the past, it was easy for families to connect over meals and watch a favourite show together. Such gestures deepened connections and offered more fodder for a healthy exchange of perspectives. However, today, with one device for every person, coming together for a meal or watching something that everyone enjoys is difficult. But with the Airtel Xstream Fiber, you can have access to more than 20+ OTT platforms and 350+ TV channels through its seamless integration, which opens them up to fascinating shows and movies. So, now you are assured that while you enjoy your favourite dessert, you can also find a common show that your whole family can sit together and enjoy as you get more storylines and characters to discuss.https://www.youtube.com/watch?v=-49FPrzyu6wA diverse platter of contentWhile you are all for nostalgia, you need not go on a rewatching spree. With Airtel Xstream Fiber, you can access abundant genre options - action, comedy, drama, romance - you name it, you will get it. So, for that special weekend lunch or movie night, simply check out the bouquet of movies and shows using Airtel Xstream Fiber and have a gala time with your loved ones. A world of binge-worthy shows and blockbuster movies await you when you explore Airtel’s broadband offerings. Upgrade to a connection that empowers you to explore the finest of cinematic art. To experience zordaar entertainment at your fingertips, click here.Disclaimer: This article has been produced on behalf of Airtel by Times Internet’s Spotlight team. ",https://timesofindia.indiatimes.com/spotlight/recharge-and-unwind-experience-togetherness-and-unlimited-entertainment-at-home/articleshow/109056424.cms
airtel,2024-05-01T17:26:00+05:30,TOI Tech Desk,"Election Commission makes a 'voting appeal' to Airtel, Reliance Jio and Vodafone-Idea",TECH NEWS : The Election Commission of India collaborates with telecom giants to boost voter participation through increased text messages amidst concerns of low ,"In response to a lower voter turnout in the initial stages of the current general elections, the Election Commission of India (ECI) reportedly has urged mobile service providers -- Reliance Jio, Bharti Airtel and Vodafone Idea -- to send out text messages to voters. According to a report by Economic Times, the aim is to boost participation in the upcoming rounds of voting, according to sources.EC sets 100 million per day targetThe ECI has proposed sending approximately 100 million text messages daily to engage voters, but telecom companies have expressed their inability to meet this demand, citing a maximum capacity of 20 million texts per day.Discussions between the Department of Telecommunications (DoT), ECI representatives, and telecom executives have been ongoing to reach an agreement on the volume of messages to be distributed.With the final phase of voting scheduled for June 1 and vote counting set for June 4, the plan is to dispatch these messages promptly, ideally before the third phase on May 7.Inquiries directed to the ECI, major telecom operators, and the DoT by ET have not received responses as of this writing.Low voter turnout may be behind EC's appealThe voter turnout for the first two phases on April 19 and April 26 was recorded at around 66%, a decrease from the 2019 elections. Experts suggest that higher-than-average temperatures in several states may have discouraged voter participation.While telecom companies have intermittently sent messages for the ECI, there is now a push to intensify this effort.Telecom firms, while not directly involved in election processes, play a crucial role in various digital operations. Their services have been utilized by the government during emergencies and significant events.The ECI has also increased its monitoring of SMS and voice call campaigns by political entities to maintain the integrity of the elections.ET reports that the commission is tracking campaign spending through various channels to ensure compliance with election expenditure caps. The ECI audits financial records to verify that candidates and parties adhere to the set limits of ₹70 lakh for Lok Sabha candidates and ₹40 lakh for assembly candidates, covering all campaign-related expenses.",https://timesofindia.indiatimes.com/technology/tech-news/election-commission-makes-a-voting-appeal-to-airtel-reliance-jio-and-vodafone-idea/articleshow/109755962.cms
